,Tweet,HS_Individual
7033,susilo bambang yudhoyono 2 pura pura sakit,1
7037,nih sih congor onta bego goblok ya suara congor onta luuu corong polisi republik indonesia njaaaaaaaaaancuuuuuuuuuuk,1
7042,maju anjing nih gaya ah orang reply gung gung gung gunggg,1
7044,syukur atuh pamer twitter goblok,1
7045,taplak meja bani taplak inus,1
7047,komentator dungu ya bro dungu nya otak haha,1
7050,alay tai kayak bocah sekolah dasar wkwk,1
7052,ustaz bawa politik dungu,1
7064,santai mas kualitas gubernur amp wakil gubernur modal saracen ya kayak sampah,1
7065,heran dukung jokowi polemik film gera 30 september partai komunis indonesia aneh lari jalan mundur,1
7074,mardani presiden presiden manusia homo pe indonesia juragan,1
7076,bencong ivan percaya aduh kakak nya rebut laki orang bangga ya iya bilang hidup jujur jujur dese hobi boboin lekong mulu saban bal,1
7080,wkwk tolol,1
7083,muuuaaak lihat muka sih tk kepret rr go publik,1
7087,dungu lio evakuasi korban becus salah orang logika cebong goblok bangga,1
7089,mata picek,1
7091,woiii goblok produk kafir anjing pakai muslim promosi negara muslim tolol nih orang tel sperma cebong ya muka tampang copet bacot amplas gih muka pakai parut biar gante,1
7095,bera i dukung orang orang buang sampah sembarang nih orang proteksi laut rakyat indonesia ijazah nya beli,1
7096,sih nenek nenek mulut jembut oceh melulu sedak bulu jembut mati nek,1
7100,mahasiswa teriak teriak anti soeha o orde dukung jilat pantat sisa sisa antek soeha o,1
7110,dit abang kasih rahasia bang bim main kak chaca adit eh dit serius dengar abang gue izin maincraft deh tante jani bang bima berisik banget dasar bocah kampret uniform resource locator,1
7111,lo cebong ya,1
7113,tagar 2019 ganti presiden lantang sang presiden kacung diam bela presiden teriak 2019 ganti presiden kemarin kemarin be eriak anak,1
7128,kait jokowi ahok johan budi jokowi anjing ahok babi ya beda otak,1
7129,munafik sok malu,1
7136,buah citra luwar ya uniform resource locator,1
7138,dungu pinjam andal profesor junjung coba salah kritik rocky gerung kritik lo ya nyinyir sindir mutu coba presiden sih prabowo sikap,1
7139,narkoba cina dosen cina hutang cina tenaga kerja asing cina periode kurikulum cina salam 2019 ganti presiden,1
7142,jijik kampang main twit,1
7145,bacot jakarta,1
7151,bong presiden indonesia ancam bunuh bego nd ejek kacung bong kacung 2 periode gue warga kolam gerah presiden hina parah bong dukung palsu xf,1
7154,2016 ratus ribu silaturahim tinggal kabur perih kena gas air mata oh pilih presiden 2019 2019 ganti presiden,1
7157,ooo ganti libur lebaran 13 21 ubah 11 20 pasca lebaran nya rang senin tanggal 18 2 jalan macet tanggal 20 bego h 2 tumpuk presiden bego,1
7162,cocot rusak,1
7165,oh iya ya otak keropos makan belatung onta x8,1
7166,sih ahok prestasi nol bicara tai ahok rahasia busuk rezim,1
7167,hai jongos nista agama muslim bangkit dukung jongos ahok,1
7173,orang goblok pelihara sih anjing,1
7179,,1
7194,bera i rejim jokowi ganti ah,1
7199,picek a mata,1
7204,gilir bela ahok tau kafir tuhan urus sorga kapling liberal kocak inus gila,1
7206,saran gue mundur jalan,1
7207,rezim anti islam dipungkiri,1
7210,lengser rezim jokowi cepat negara hancur amburadul,1
7211,tolol lihat tolol malu wkwk,1
7212,jijik kunyuk mt gue balas sok suci cih wooseok jung,1
7217,retweeted warga negara indonesia korea 2019 ganti presiden bahana gera 2019 ganti presiden dunia,1
7220,warga moskow demo turun jokowi negara nya save ustaz alfian,1
7223,gubernur bayar tukang konsep tukang ketik payah deh 2019 ganti presiden 2019 ganti presiden,1
7224,kalah salah wasit pakai isu hoaks ulama 212 saracen isu sara isu partai komunis indonesia isu antek asing goreng sampa hangus elektabilitasnya salah rakyat goblok iya prabowo km,1
7229,tipu jokowi,1
7238,cocok prabowo myanmar kuda,1
7241,keren mas survei bo rangkap koordinator cebong ya ntl nya dukung bani cebong nmantrraaaf,1
7242,gatot antek asing nyata,1
7245,adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,1
7246,suara narasi bela partai komunis indonesia,1
7254,jalan akses tuju velodrome pakai asean games hehe bijak gubernur sungguh titit kuda,1
7258,ahok djarot gagal banjir orang kena banjir sibuk sidang nista agama,1
7262,bego ah budek,1
7263,ahok jeruji demo rumah tahan demo jokowi amnesti grasi kasih lengser jokowi salam,1
7265,kali undang sih adi narasumber kampung,1
7267,rakyat jawa barat cerdas inshaaallah dukung calon ai ai bela ahok nista agama uniform resource locator,1
7270,bodoh cerita cinta sepe imu nih tolol,1
7272,jijik anak dukung prabowo pendeta setan,1
7283,mari lawan hancur rezim kocak jongos cina komunis,1
7286,dangkal otak benci suha o partai komunis indonesia,1
7293,idola harun yahya zakir felix siauw cita cita kuasa dunia kalah yahudi rahmat alam semesta kali iya bumi 13,1
7296,susilo bambang yudhoyono presiden gemuk ya restoran 8 juta ya jaman jokowi 800,1
7298,woyyyy bangsulll peang goblok anjirrrrr blok gueeee cukkkkk,1
7300,syaitan iblis ganggu suara azan hati nyata bu suka nama,1
7304,polisi republik indonesia tangkap prabowo hina presiden media sosial uniform resource locator hukum hina jokowi megawati,1
7309,diam lu cina keparat,1
7311,buka lihat bohong bohong jokowi laku hadap rakyat orang tipu sepe i pimpin,1
7312,36 dasar fakta sejarah jokowi mundur jatuh musuh umat islam,1
7313,wkwk cebong dungu bicara cebong onta cangkemmu,1
7316,indah cocot partai adil sejahtera bicara ketua kayak bencong gaya bicara aduh sadizzz,1
7317,bicara ulama mengatasnamakan syar i haram,1
7318,zalim kroni kroni megawati menang zalim kroni kroni daur ulang sejarah,1
7319,salah pilih gubernur usung isu sara,1
7320,amien tuduh prabowo dalang buah rusuh,1
7324,salah kafir nainggolan ajak tonton film kafir panggil bang lai keok belgia,1
7325,nakal polisi kuat animo umat islam lengser jokowi 2019,1
7328,mata picek,1
7334,negara genting defisit 3 jokowi lengser rakyat jokowi lengser retweet,1
7336,tinggal anies copot jabat gubernur daerah khusus ibukota lantar kunjung,1
7337,meh cocok sube wa off telepon angkat dasar berengsek,1
7341,usir duta myanmar,1
7344,huhu kim bum plot twist banget sumpah rela monyet biar monyet pindah on eh tau monyet berani tau,1
7348,tangkap ustaz bajing uniform resource locator,1
7352,setan dungu nih burittt,1
7354,kontras radikal intoleran,1
7371,kafir bodoh bengap terang pon x paham patut kafir,1
7378,sih nih dosen azan break cerocos mulu kunyuk,1
7383,tangkap sih gerung nista kitab suci agama,1
7384,bual nih jokowi bicara mulu uniform resource locator,1
7386,najis om om inggu nyata,1
7389,cebong tolol lari nyata,1
7390,eh dongok nama tackle injured debut 20 17 main nya kasar cidera wkwk heran otak,1
7391,preman kampung monyong putih kasih panggung rusak acara enek lihat,1
7395,rezim buruk semenjak indonesia merdeka,1
7396,tau bego ajar maki goblok goblok,1
7401,presiden boros foya foya rakyat derita jokowi presiden pilih taipan cc 2019 ganti presiden,1
7415,sih hina al qur an penjara penjara ahok penjara ahok,1
7416,anut islam garis keras omong lihat mendem kencing onta,1
7418,mumpung gue puasa ngentot,1
7421,ganti nama biar cocok mulut sampan onta kencing,1
7424,era komunis biar kembang,1
7425,prabowo lucu lawak novel fiksi ghost fleet lucu zul bego,1
7427,gara gara presiden plonga plongo ya kiai,1
7430,emosi gue loey hyung anjir gue pikir keras maksud acara peranjat bego bilang mimpi anjir emosi pangeran,1
7439,matanajwadebatjaka a urus bacot anis nya juara makan bacot jaka a haha pasang calon aneh gede bacot doang,1
7442,lagu ari lasso silit,1
7451,nyata jokowi komunis lengser uniform resource locator,1
7453,ruhut gila tun,1
7454,haha beda sanjung sih babi jijik eh habib rizieq wkwk,1
7457,music network bangsat,1
7460,jablay modal usaha,1
7464,mentil mentil goblok tolol bin bahlul onta kampret,1
7465,picek mata,1
7468,be ahun2 ejek cebong jokowi kodok partai komunis indonesia kafir dongok santai panik ya sih panggil kampret,1
7471,kuota searching ya monyet nyawa layang rezim orde kuota cari bokep biar otak kayak kampret bothnewyear baca buka wawas,1
7473,lihat banget bego nya empok silvy and agus debat final pilih kepala daerah jakarta,1
7477,atuhlah nete goblok,1
7478,pilih cebong kiai cebong sep abu janda al kampret,1
7479,harap rizieq shihab pulang hadap hukum orang orang sawah taruh laut pecun dang berengsek jemput paksa kecuali polisi takut,1
7483,galakin pribumi negeri teriak usang asing gongseng gilir hadap hadap langsung usang asing asing gongseng loyo,1
7490,congor baginda paham a i dialog baginda paham fulus amp ngaceng,1
7497,lihat tas istri jokowi kampung p,1
7498,ya gara gara mata wasit picek lihat bola kena raket salah sikap kevin,1
7502,sumber waras trans jaka a jokowi diam sih kutil babi ahok ganyang,1
7511,aduh sibuk iya celeng,1
7520,tolong polisi republik indonesia periksa anies sandi libat saracen batal angkat sesuai hukum laku,1
7522,untung ahok nyungsep,1
7527,bajing silvy debat final pilih kepala daerah jakarta,1
7528,haha bangsaaat moral begundal bajing abal abal uniform resource locator,1
7533,laden ekor cebong kelayaban tuju,1
7534,ganti kotak kosong dil pilih 2019 ganti presiden,1
7541,tolol,1
7542,ahok tumbang fakta bilang fitnah debat final pilih kepala daerah jakarta,1
7547,sih ahok nobat babi keprek,1
7549,hai kunyuk paham ya prabowo subianto calon presiden salah presiden play station pas calon presiden abadi uniform resource locator,1
7554,slogan tipu teriak pancasila indonesia hati komunis,1
7555,udik bego haha,1
7556,benci perangkat digital zaman susilo bambang yudhoyono susilo bambang yudhoyono klarifikasi info sesat main tangkap,1
7559,hajar jokowi,1
7562,super gubernur indonesia bangga beda kelas gubernur reklamasi bangga bangga cukong 2019 ganti presiden 2019 presiden periode,1
7568,yaaaelaaaaaa manusia babi dasar,1
7570,ustad tukang fitnah tuduh jokowi partai komunis indonesia tangkap,1
7576,monyet komunis,1
7578,dasar bencong,1
7586,takut prabowo laku sukses jokowi takut prabowo,1
7588,nyata alas bakar 7 sekolah dasar palangkaraya perhati amp proyek uniform resource locator,1
7592,gubernur pilih hancur lihat ahok no 1,1
7593,dasar antek asing,1
7594,muka kontol monyet,1
7597,berat wakil setya novanto dewan wakil rakyat ri pecat setya novanto dewan wakil rakyat ri,1
7601,jaga sehat pikir logika 2019 ganti presiden,1
7603,refleks sarah cubit pinggang sang adam motor laju cepat alis te aut kesal lantas luncur protes bawa gadis preman pasar idiot,1
7604,bicara ahmad dhani monyet babi anjing,1
7605,front bela islam gelar jihad konstitusional lengser jokowi uniform resource locator bijak indonesia mohabbatein,1
7606,biadab kerja cina buang bendera indonesia tanah asing asing tiongkok uniform resource locator,1
7610,pepatah cocok jongos nyaring ibul saking sibuk kerja citra dolar roket sih tablo plonga dongok,1
7613,hai ahok pikir kayak wan abut cetek pikir merek islam otak kafir,1
7615,nyata tulis twit cebong kelas kakap puluh ribu sayang dongok sial haram jadah men fitnah dasar bangsat,1
7616,masuk katagori baris dajjal iblis sih bu suka,1
7619,cinta milik orang cinta wkwk kasihan banget suka bilang kayak cinta milik bego,1
7623,istana asai komunis rakyat lengser jokowi jokowi diktator rakyat tentara nasional indonesia uniform resource locator,1
7628,prabowo kuli indonesia kalah saing uniform resource locator,1
7631,bangkai nasib uzur,1
7635,dongok sepemikiranya sih gerung kitab suci pakai agama islam agama agama nista,1
7639,bangsaaat tolol anjing bangsat anjing tolol beloon bego ajggggggggg alay anjing bangsat jablay,1
7644,,1
7647,berengsek anjing ayo ah gila uniform resource locator,1
7648,cc nafsu tenaga uniform resource locator,1
7650,cacat ceng,1
7651,40 jokowi mundur gelar negarawan mustahil be ahan lihat,1
7652,papah mata picek,1
7654,ayat bossku maju anjing nih sedap sopan ajar,1
7659,anjing ahmad babi ahmad dhani,1
7668,dewan wakil rakyat tekan jokowi jokowi tolak dewan wakil rakyat bikin hak angket turun jokowi,1
7669,mubalig pimpin mesjid andal rakyat umat islam giring otak suka kacung cukong biar rakyat umat islam rencana 2019 ganti pra,1
7672,kasih tau sih ah cocot,1
7674,tunggu reaksi sih denny siregar cita cita penjara tinggal kenang dasar dungu,1
7686,mantan menteri jaga wibawa turun berita hoaks ribut asli habis salah beloon,1
7688,iklan ahok jahat ahok cipta bara api rakyat pribumi tionghoa balut fobia ahok kafir racist,1
7692,sih staquf yahudi tulen benci arab,1
7696,jaman bahan bakar minyak rakyat susah gara gara jokowi,1
7698,ajar rayu jokowi menteri barangkali,1
7701,ah congor mu zon,1
7704,lupa otak sambung,1
7707,goblok orang beda cong uniform resource locator,1
7713,berani indonesia republik rakyat cina,1
7716,sih perek,1
7719,anjing gonggong anies jalan,1
7721,tommy kena pasal lap korupsi bunuh hakim agung diskon era susilo bambang yudhoyono uniform resource locator,1
7723,cebong tolol be epi,1
7727,gue lihat sih anies ya gue banding ahok mudah bilang mampus bajing berengsek tai paham nenek orang hadap publik rapat internal gue sih mending sih anies ya,1
7730,salah iblis betina gentayang duku calon legislatif gagal nsi tipu ijazah palsu nskg ber,1
7731,prabowo presiden istri indonesia hancur,1
7740,anjing jokowi presiden urus daerah khusus ibukota mudah,1
7746,he kontol sok mes rupiah muka kayak memek orang tua kayak monyet agama agama kontol 35,1
7747,diam tai anaconda,1
7752,musuh sak modar nyata cocotmu hilang konco 1 bajing koyo koe ra rugi,1
7756,rezim anti islam tumbang 2019,1
7761,hambalang nya gara gara susilo bambang yudhoyono anak buah masuk bui jokowi,1
7763,diretweet sompret,1
7764,nama islami laku aduh goblok tampang sesak oi,1
7766,lengkap kubu anies sandi tukang cabul,1
7770,percaya induk nista tahan bela uniform resource locator,1
7773,sih bejat cabul kriminal oceh kriminalisasi ulama dasar munafik,1
7781,sih tiang listrik kampret li junhui gue tabrak pakai bajaj pasang bom dasar cungkring tau,1
7784,laku jual negara goblok bangun kaki orang kaki bayar hutang utang bos eeeh bego kaya,1
7786,sih tertawa mulu bangsat,1
7787,hoooy ayo balas bisu malu kaum iblis hhhhh gelar ahli provokator,1
7789,kampret banget kuat beli telur tebar hoaks kampret kuat ya koruptor selangkang iya coba lihat pakai mata otak gubernur koruptor cewek pret kampret telur kampret murah ceria,1
7790,mulia anggur perhati banget rakyat rakyat cina 2019 nyalon pilih presiden pilih 2019 ganti presiden,1
7793,tipu pilih presiden 2014 buzzer cebong dosa tipu,1
7795,manusia perlente gaya meleteh kayak jambu mente kau manusia das omong bau terasi laku sisi kau manusia sombong suka gonggong bokong bokong kau manusia biadab ntk adab kau manusia bejat ntk,1
7798,gue harap banget kemarin mati harap setya novanto mati pas sakit kemarin setya novanto,1
7799,prabowo anak berontak,1
7801,komunis sederhana paksa atur contoh paksa pakai e uang komunis banget rezim komunis,1
7804,fitnah fitnah suka dasar onta,1
7809,dajjal cabul tenaga kerja indonesia uniform resource locator,1
7812,prabowo dalang rusuh mei 98 mustahil presiden papar lengkap uniform resource locator,1
7813,bego ya kampret potensi rugi cebok mata cing onta,1
7815,prabowo maju motor dorong,1
7817,congor ya tolong,1
7820,nyinyir biar ajak gabung presiden kali,1
7822,cebong standar dungu ragu bukti bilang orang bego aduh,1
7824,orang tolol balas base akun nya kunci,1
7826,hem sampah tengok live facebook khair din habis habis pusing pasal manifesto ph agama golong dap cina kristiani he nama dap pas eh geram lepas dok motif nak sel,1
7828,ahok sah sang napi nista agama ungkit ungkit kisah,1
7830,selamat kampung selamat unahe junjung ya e kucluk cebong cepek lu,1
7835,terima kasih saudara umat muslim lelah juang hirau munafik buzzer tebar fitnah,1
7838,insya allah kuasa jahat jongos budak cina kafir komunis nafsu jajah rampok indonesia hancur allah subhanahu wa taala,1
7840,orang cina indonesia,1
7843,alah kontol,1
7848,bunuh mata mafia koruptor nya nista agama panggil popular nya babi ahok,1
7856,siyaaaaap tolong kait kait imbal jasa jamin anies sandi kait kait hubung ahok jokowi,1
7857,mangkrak kayak susilo bambang yudhoyono uniform resource locator,1
7860,jokowi mundur,1
7862,7 sekolah bakar kader nya prabowo tanggung,1
7864,berani putra melayu takut berani teriak teriak bantu hajar mulut bau congor sih ardi goblok,1
7870,jaman mas jajah merdeka kerja asing korea utara main twitter pakai produk asing tanggung anti asing,1
7872,alah bacot mulut lelaki terkadang,1
7874,diam gebuk dewan wakil rakyat,1
7876,idih najis tujuh turun,1
7880,hutang nya bangga in bukti rezim gagal 2019 ganti presiden,1
7884,bolot anak alay max biduan kebo parah sebal suka bikin marah marah mesum bau pedean semangat,1
7885,nama pancing konflik horizontal polisi biar lengser jokowi indonesia hancur,1
7886,gaya beruk preman kampung mantan supir tembak metromini masuk dewan wakil rakyat kampung debat ajak rantam,1
7889,rezim laknat sih jokowi kodok 2019 ganti presiden 2019 ganti presiden 2019 jokowi,1
7892,sibuk jilat bokong jokowi ambil ilham sepe i subhanallah,1
7893,sih janda sebar hoaks gagah culun muncul gaya gagah simpul janda culun,1
7894,tumbang jokowi radikal lengser jokowi,1
7896,sah survei mayoritas warga jokowi presiden duit jalan sembako chopper 2019 ganti presiden,1
7898,expo dul sebar ahok hongkong sapa tau ahok gubernur hongkong haha uniform resource locator,1
7900,ekonomi merosot utang bengkak badan usaha milik negara jual jokowi mundur chirpstory uniform resource locator,1
7908,hati hati pakai foto aung suu kyin jabat indonesia lapor polisi aiparno uniform resource locator,1
7912,anak setan,1
7915,ya tuhan banget cerita inti agens berengsek,1
7916,partai komunis indonesia adakan prabowo calon presiden pilih prabowo bilang partai komunis indonesia gue pilih jokowi bilang emx gue pikir,1
7918,idiot banget sih bang luk uniform resource locator,1
7920,bantu rohingya prabowo citra bicara tok kayak prabowo ya,1
7924,orang marah tipu janji palsu jokowi lapor polisi nih dasar gila,1
7937,putar goblok bikin emosi ya,1
7938,keparat,1
7941,berisik tai ngentot diam jempol,1
7942,komplit banjir tenaga kerja asing tenaga kerja asing jokowi restu warga negara asing duduk jabat direksi badan usaha milik negara parah negeri pilih 2019 ganti presiden 2019 ganti presiden,1
7943,haha banci kaleng langsung nyungsep pakai akun palsu banci ya saracen waspada waspada,1
7945,tulis twit kafirun munafik bau bau partai komunis indonesia pancasila indonesia mental mental kacung,1
7951,bolot,1
7953,ahok kafir takut debat rakyat asli pribumi nelayan pakar reklamasi rakyat ahok kafir bencong,1
7954,mundur mas tolol,1
7958,kesini bangsat,1
7961,manusia anjing mati mati rela mu adz babi ahok kafir uniform resource locator,1
7962,ahok gubernur preman tn abang,1
7966,emak jual ya bajing anak lacur rupa,1
7967,bantu muslim rohingya bilang bilang citra tau,1
7971,rawat bangsa masker cap sara alas anies sandi,1
7976,dagang aneh nyata nya harga puluh ribu kilogram nya nasional idul fitri lebaran puluh ribu aneh nya beras murah rezim aneh,1
7982,bobrok birokrasi anies sandi jabat uniform resource locator via,1
7985,tuding duga korupsi susilo bambang yudhoyono dorong jaksa usut himbau komisi berantas korupsi usut duga korupsi jokowi solo raya,1
7987,jokowi sepe i karno lengser paham,1
7990,ustad ngentot ngentot pas dakwah ya kasih kutip dakwah,1
7991,bolot alias daki,1
7993,iya kampang,1
7998,by the way sih ratu tiru afi hinayah undang jokowi istana posting tiru iya ancam bunuh ya allah,1
8000,tuju banget coba ahok gubernur daerah khusus ibukota tamat nih rumah sakit,1
8003,bedebah teror psikologis pilih jokowi,1
8005,ijazah mu sih cek beda juang rakyat semesta semesta,1
8006,66 najis banget gue kepruk ya gubernur,1
8011,rezim ganti pulang anti islam percaya,1
8013,kelas pilih jokowi lawan prabowo ham hancur ya indonesia,1
8014,silit ardhog,1
8016,kafir,1
8017,rezim anti islam fadli zon anti negara republik indonesia coba bentur umat islam negara amp aparat,1
8020,bicara dasar ya nasrani kafir,1
8021,ganti mudah mudah ekonomi sulit,1
8022,lengser gebuk bukti dukung radikalisme,1
8028,dasar lelaki kardus lelaki karpet lelaki kencrot lelaki bangkrut lelaki mencret lelaki kernet lelaki bangsaaaaaaaatttt,1
8035,dukung ahok tangkap zaman jokowi,1
8038,sok inggris anjir repot fi nya cerita panjaaangg inti cuek cuek najis nyata isi apes orang desc nya ya orang ekspres tebak sebal,1
8043,mustahil polisi berani tangkap kubu mustahil bin mustahil kepala polisi republik indonesia politic id,1
8045,alah komplot banci,1
8048,26 48 65 98 komunis hasil kuasa penuh rezim,1
8050,bismillahirrahmanirrahim niat rida amp ikhlas janji jokowi kalah pilih presiden 2019 sujud syukur alun alun majalengka amp kibar bendera merah putih panyaweuyan moga umur tunai j,1
8052,17 tanah rakyat kembang modus korupsi ahok gubernur jaka a asumsi rp5 juta m2 rupiah 85 triliun,1
8053,nama indra j piliang status periksa narkotika duga dukung anies sandi,1
8055,eh cebong jaga congor bicara salah bong 2019 presiden 2019 presiden 2019 ganti presiden 2019 ganti presiden 2019 ganti presiden,1
8057,gue berangkat remaja lagu lagu cebong dungu kenyang tulalit,1
8061,sirik nih onta,1
8065,rezim cebong lihat realita rakyat,1
8067,nyata gue salah sangka dasar tipu bejat laknat sunat,1
8069,hdh cakap cakap bolot,1
8076,median mayoritas rakyat jokowi presiden 2019 ganti presiden,1
8088,prabowo subianto prabowo subianto rupa anak biologis soemitro djojohadikoesoemo penghianat bangsa uniform resource locator,1
8096,sesuai tap majelis musyawarat rakyat pecat jokowi diam jokowi langgar tap majelis musyawarat rakyat layak lengser majelis musyawarat rakyat takut 98 ulang,1
8097,mak lambe monyong bajing diam iya lambe monyong dasar goblokkkk uniform resource locator,1
8101,cocot kintil,1
8103,diam anjing daniel edan ya,1
8105,tolol sih cal laki,1
8111,cupu,1
8119,ya tabok orang,1
8126,culun kayak pawai tujuh bas,1
8142,harga turun 180 derajat otak campur nanah kencing onta sadar woi 2019 ganti telor,1
8148,men are sampah wkwk jap daler pahal orang cacat,1
8150,maju anjing nih orang tshi beli haha,1
8154,jabar wakil gubernur konsisten meika agate,1
8155,2019 ganti presiden suka umbar janji lengser,1
8158,anjir paypal anjing banget kena fee nya,1
8161,keluarga halilintar hem km tau udik,1
8164,kerja seks komersial tawar gerindra joko wi rakyat kere suruh jual kali bantu,1
8167,lapor posko juang rakyat dukung lapor rawan juang demokrasi organisasi sayap partai demokrasi indonesia juang,1
8170,model ceramah nya kayak jancuk silit celeng gus gus,1
8171,cebong ya bau amis,1
8172,asma dewi ciduk alumni 212 dukung anies sandi loyalis prabowo,1
8177,fakta pilih kepala daerah daerah khusus ibukota imbal jasa jamin dukung anises sandi 2014 narkoba iya candu 1 dukung anies sandi,1
8184,haha apes menteri media sosial cocok cocot buka kerja apes,1
8186,jilbab akhlak pecun ncuihhh,1
8187,tipu berani bilang uji allah aduh ampun deh bodoh bin idiot orang,1
8191,pret kampret dukung 2019 ganti presiden presiden sapa rocky gerung kafir kah,1
8193,iya akun hutang negara pimpin kalah gunung sahari,1
8194,empok silvy nyinyir melulu pe anyaan nya sayang sesat maklum sih dese mak mak devat final daerah khusus ibukota debat final pilih kepala daerah jakarta,1
8199,bambang muka kontol hina ulama gue hajar dasar antek komunis,1
8202,wajah lihat beloon munafik sok pintar sok suci iblis,1
8206,telusur cepat pe emuan hatta ali setya novanto pecat hakim sepi main mata,1
8207,kafir asli menang busa mulut alam nyata cundang oh puja prabowo,1
8211,anjing najis banget mino jelek,1
8220,dasar manusia homo,1
8225,urus urus gue hina banget orang,1
8231,teman manusia homo heran,1
8234,twitter gusur gusur rakyat derita,1
8237,panas terima korban jonru ginting warganet protes korban jokowi,1
8242,mampus bangkrut bandar,1
8244,mudah mudah gue ketemu sih babi iwan bopeng mungut suara nya anjing ahok,1
8248,itik be elor ayam rami ahok bangun benda mati manusia pas berswafoto dasar anus,1
8249,,1
8257,bicara sylvi lihat oke debat ahok sylvi langsung kuat goblok,1
8258,viktor agama kristen ancam bunuh orang islam,1
8261,oh bera i mundur boneka,1
8262,bangsat dah ramah gue,1
8266,bola main lapang main main congor bapuk,1
8271,admin bahan indonesia cocot otak pnh nafsu kuasa,1
8272,haha iya cacat kayak ya otak otak ayam wkwk,1
8279,bank dunia otak onta sih dungu malas bego tolol ya onta,1
8280,dunia nafsu ya kang sayap kayak burung hantu uniform resource locator,1
8284,najis anjir goblok banget,1
8286,basi isu partai komunis indonesia,1
8288,uang muanas munafik,1
8293,indonesia cina,1
8301,senang fan mati lupa bego banget uniform resource locator,1
8302,cerdas susilo bambang yudhoyono undang undang pilih sah a inya calon presiden calon wakil presiden curi stasiun kampanye agus harimurti yudhoyono manfaat,1
8303,hobi bodoh orang cerca ngedunguin orang orang enak jidat kacung cebong sok care hak asasi manusia jijik lihat orang panuan penuh panu,1
8305,salah dodol wkwk telur murah beli untung mahal beli bela dasar cebong kutuk,1
8311,ya prabowo ruhut jokowi korban umat islam,1
8314,jokowi jongos luhut,1
8316,ya ya materi hukum gue susah jurus porsi susah ilmu alam banding banding jurus gue susah borjuis elite bagus alah tai kucing,1
8321,lihat direct message ah tau gue bolot,1
8327,pikir tolol,1
8328,kontaminasi murid kasih kaca gerung bro nkl nalar dungu jokowi bicara emas mahal kalajengking,1
8329,gue doa budek,1
8330,lengser dukung sidang istimewa majelis musyawarat rakyat,1
8335,lengser jokowi bukti cinta jamban wkwk,1
8345,iya mas inflasi pakai maki tolol dongok super,1
8347,10 emas bicara jaman susilo bambang yudhoyono 3 gelap era jokowi uniform resource locator,1
8361,oi anjir bolot banget gue paham uniform resource locator,1
8362,on gue omelin yel tenang orang gila yel orang barang taruh orang bego dongok sinting sarap bajing,1
8364,tolol tulis kayak x8,1
8367,mulut busa muncrat haus kuasa kasak kusuk cari salah olah olah congor doang kerja,1
8371,bajak bacot babi mending gelut,1
8375,jokowi ratu adil turun darah biru darah kotor cina babi uniform resource locator,1
8376,politisasi bahan dunia,1
8377,ya tau gubernur ngawur nya kayak tai kucing injak baca cerita kayak kes arang bebas anak uniform resource locator,1
8380,dasar bajing bini bujang pelan pelan sakit hancur asa mama ku mama ku pulang ku banting handphone,1
8392,totol ketemu tolol,1
8393,ai bangkit paham komunis bangkit tanam rezim,1
8397,ya mbak dewasa beda perilaku perilaku buruk sih cowok berengsek,1
8404,rugi jonru mas jokowi utang 4000t rakyat garam 400 situ tau,1
8405,rezim jokowi lengser adil kuasa jalan lengser jokowi,1
8406,pe anyaan tolol bukti,1
8412,mundur becus urus negeri,1
8418,alamat kerja kasih biar bukti lgbt aka banci kaleng,1
8421,coba gubernur kafir teriak nih demo haha,1
8422,bocah geblek penjara,1
8426,teki onta bang sombong,1
8438,gue baca bodoh,1
8444,lihat umar umar ahok amp busuk lantang hina agama,1
8448,anak cebong kampret polos an cebong kampret tua,1
8449,nama buni yani status dakwa langgar undang undang informasi transaksi elektronik duga dukung anies sandi,1
8456,berita nya google oh ya atur perintah mudah masuk nya tenaga kerja asing indonesia tenaga kerja asing bantah undang undang dukung x8,1
8458,aduh aduh nenek tua jahat politik identitas hati buta coba pikir norak kampung nek nek,1
8459,spill nama restoran gue tinggal papua amp gue harga pangan mahal mbak goblok cacat,1
8463,bicara igau,1
8465,mempe ahankan atur presiden risiko berat rezim ahok mukidi presiden dukung investor rakyat sengsara tanggung ancam 9 naga hiiiii,1
8466,malas banget jodoh upil onta,1
8480,alah bacot anjing antek antek sih side tuju alah anjing,1
8483,pokok pulang solo cebur habitat nya kolam butek 2019 ganti presiden 2019 presiden jokowi,1
8484,benak orang teriak bubar partai komunis indonesia lucu anak jatuh kesandung batu batu salah,1
8487,gelar profesor palsu lucu nikmat gelar profesor eh bongkar dosen staf gila keburu cinta ilmu ilmu palsu gendeng,1
8488,selamat renang kolam cebong,1
8490,sahabat bangsat,1
8496,menteri dagang cina tumpang cari makan hidup indonesia cari perkara pribumi usir negara republik indonesia,1
8497,bencong teriak bencong,1
8498,2019 ganti presiden konstitusional hak rakyat woiii plonga plongo laku otoriter,1
8505,bagas homo kemarin lihat profil grindr,1
8506,mampus kunyuk sembah lembu uniform resource locator,1
8510,auti auti autis ya banci autis seram lt,1
8511,alumni 212 partai adil sejahtera tim sukses anies sandi ramai ramai buang body kenal asma dewi,1
8516,habib sinting anonim dengar sakit jiwa uniform resource locator,1
8525,urus urus orang mulut nyinyir kayak banci lekong,1
